a,b,c,d,e,f,g,h,i,j,k
329,164.5,100,y,0,ON,0,OFF,0,signal,1
330,165,100,y,0,ON,0,OFF,0,signal,1
331,165.5,100,y,0,ON,0,OFF,0,signal,1
332,166,100,y,0,ON,0,OFF,0,signal,1
333,166.5,100,y,0,ON,0,OFF,0,signal,1
334,167,100,y,0,ON,0,OFF,0,signal,1
335,167.5,100,y,0,ON,0,OFF,0,signal,1
336,168,100,y,0,ON,0,OFF,0,signal,1
337,168.5,100,y,0,ON,0,OFF,0,signal,1
338,169,100,y,0,ON,0,OFF,0,signal,1
339,169.5,100,y,0,ON,0,OFF,0,signal,1
340,170,100,y,0,ON,0,OFF,0,signal,1
341,170.5,100,y,0,ON,0,OFF,0,signal,1
342,171,100,y,0,ON,0,OFF,0,signal,1
343,171.5,100,y,0,ON,0,OFF,0,signal,1
344,172,100,y,0,ON,0,OFF,0,signal,1
345,172.5,100,y,0,ON,0,OFF,0,signal,1
346,173,100,y,0,ON,0,OFF,0,signal,1
347,173.5,100,y,0,ON,0,OFF,0,signal,1
348,174,100,y,0,ON,0,OFF,0,signal,1
349,174.5,100,y,0,ON,0,OFF,0,signal,1
350,175,100,y,0,ON,0,OFF,0,signal,1
351,175.5,100,y,0,ON,0,OFF,0,signal,1
352,176,100,y,0,ON,0,OFF,0,signal,1
353,176.5,100,y,0,ON,0,OFF,0,signal,1
354,177,100,y,0,ON,0,OFF,0,signal,1
355,177.5,100,y,0,ON,0,OFF,0,signal,1
356,178,100,y,0,ON,0,OFF,0,signal,1
357,178.5,100,y,0,ON,0,OFF,0,signal,1
358,179,100,y,0,ON,0,OFF,0,signal,1
359,179.5,100,y,0,ON,0,OFF,0,signal,1
360,180,100,y,0,ON,0,OFF,0,signal,1
361,180.5,100,y,0,ON,0,OFF,0,signal,1
362,181,100,y,0,ON,0,OFF,0,signal,1
363,181.5,100,y,0,ON,0,OFF,0,signal,1
364,182,100,y,0,ON,0,OFF,0,signal,1
365,182.5,100,y,0,ON,0,OFF,0,signal,1
366,183,100,y,0,ON,0,OFF,0,signal,1
367,183.5,100,y,0,ON,0,OFF,0,signal,1
368,184,100,y,0,ON,0,OFF,0,signal,1
369,184.5,100,y,0,ON,0,OFF,0,signal,1
370,185,100,y,0,ON,0,OFF,0,signal,1
371,185.5,100,y,0,ON,0,OFF,0,signal,1
372,186,100,y,0,ON,0,OFF,0,signal,1
373,186.5,100,y,0,ON,0,OFF,0,signal,1
374,187,100,y,0,ON,0,OFF,0,signal,1
375,187.5,100,y,0,ON,0,OFF,0,signal,1
376,188,100,y,0,ON,0,OFF,0,signal,1
377,188.5,100,y,0,ON,0,OFF,0,signal,1
378,189,100,y,0,ON,0,OFF,0,signal,1
379,189.5,100,y,0,ON,0,OFF,0,signal,1
380,190,100,y,0,ON,0,OFF,0,signal,1
381,190.5,100,y,0,ON,0,OFF,0,signal,1
382,191,100,y,0,ON,0,OFF,0,signal,1
383,191.5,100,y,0,ON,0,OFF,0,signal,1
384,192,100,y,0,ON,0,OFF,0,signal,1
385,192.5,100,y,0,ON,0,OFF,0,signal,1
386,193,100,y,0,ON,0,OFF,0,signal,1
387,193.5,100,y,0,ON,0,OFF,0,signal,1
388,194,100,y,0,ON,0,OFF,0,signal,1
389,194.5,100,y,0,ON,0,OFF,0,signal,1
390,195,100,y,0,ON,0,OFF,0,signal,1
391,195.5,100,y,0,ON,0,OFF,0,signal,1
392,196,100,y,0,ON,0,OFF,0,signal,1
393,196.5,100,y,0,ON,0,OFF,0,signal,1
394,197,100,y,0,ON,0,OFF,0,signal,1
395,197.5,100,y,0,ON,0,OFF,0,signal,1
